City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,petropavlovsk-kamchatsky,53.0452,158.6483,-16.67,60,40,4.0,RU,1704767759
143,ad dabbah,18.05,30.95,21.21,51,85,3.82,SD,1704767760
144,zhangjiakou,40.81,114.8794,-6.88,63,31,3.33,CN,1704767760
145,hammerfest,70.6634,23.6821,0.25,100,100,3.09,NO,1704767760
146,yevlakh,40.6183,47.1501,10.17,40,0,2.89,AZ,1704767760
147,anaco,9.4389,-64.4728,24.11,71,30,2.32,VE,1704767761
148,aasiaat,68.7098,-52.8699,-15.43,87,100,1.69,GL,1704767761
149,anna regina,7.2644,-58.5077,25.62,77,83,3.58,GY,1704767761
150,geraldton,-28.7667,114.6,25.23,61,75,8.75,AU,1704767761
151,whitehorse,60.7161,-135.0538,-16.57,84,0,2.06,CA,1704767762
152,tukrah,32.5341,20.5791,14.12,61,64,10.49,LY,1704767762
153,malindi,-3.2175,40.1191,26.13,81,77,4.86,KE,1704767762
154,zeya,53.75,127.2667,-20.29,66,1,2.69,RU,1704767763
155,svetlogorsk,52.6333,29.7333,-14.1,84,8,3.74,BY,1704767763
156,at taj,24.2049,23.2857,13.37,32,70,2.38,LY,1704767763
157,st. john's,47.5649,-52.7093,-1.58,90,100,11.32,CA,1704767742
158,atmakur,15.8833,78.5833,22.43,73,88,3.09,IN,1704767764
159,kampong thom,12.7111,104.8887,30.07,50,12,1.95,KH,1704767765
160,san pedro,14.35,121.0167,29.08,82,75,3.09,PH,1704767488
161,kita,13.0349,-9.4895,22.04,17,8,1.61,ML,1704767765
162,mata-utu,-13.2816,-176.1745,28.72,74,65,1.53,WF,1704767766
163,codrington,-38.2667,141.9667,19.08,78,89,4.26,AU,1704767766
164,begamganj,23.6,78.3333,19.34,64,0,4.26,IN,1704767767
165,ta`u,-14.2336,-169.5144,28.14,75,79,2.71,AS,1704767767
166,tura,25.5198,90.2201,18.91,51,0,1.12,IN,1704767768
167,laguna,38.421,-121.4238,9.5,64,0,2.57,US,1704767550
